Step,AgentID,EV_sat,Pop,EVs,total_daily_use,pop_daily_use,ev_daily_use
0,0,0.013,12533.0,167,201321.260862612,201154.65000000002,166.610862612
0,1,0.036,20892.0,746,336060.861697656,335316.60000000003,744.261697656
0,2,0.012,18349.0,227,294727.92105277197,294501.44999999995,226.47105277199998
0,3,0.02,32401.0,634,520668.572676024,520036.05000000005,632.5226760239999
0,4,0.022,15907.0,347,255653.541433092,255307.35,346.191433092
0,5,0.007,15735.0,106,252652.503002616,252546.75,105.753002616
0,6,0.01,11837.0,116,190099.579700976,189983.84999999998,115.729700976
0,7,0.02,20117.0,411,323287.89230259595,322877.85000000003,410.042302596
0,8,0.007,15345.0,107,246394.00067245198,246287.25,106.750672452
0,9,0.015,18912.0,288,303824.928912768,303537.6,287.32891276800007
0,10,0.014,14487.0,203,232718.87697670798,232516.34999999998,202.526976708
0,11,0.032,23456.0,759,377226.031405524,376468.80000000005,757.231405524
0,12,0.032,31976.0,1036,514248.385950096,513214.80000000005,1033.585950096
0,13,0.037,12334.0,453,198412.644435708,197960.7,451.944435708
0,14,0.012,20432.0,236,328169.050081296,327933.60000000003,235.45008129599998
0,15,0.019,17860.0,340,286992.20774424,286653.0,339.20774424
0,16,0.009,18081.0,155,290354.68882458,290200.05000000005,154.63882458
0,17,0.032,14746.0,465,237137.21647374003,236673.30000000002,463.91647374
0,18,0.008,14029.0,110,225275.19368196,225165.45,109.74368196
0,19,0.029,27148.0,779,436502.58480224403,435725.4,777.184802244
0,20,0.014,33502.0,479,538184.983851444,537707.1000000001,477.883851444
0,21,0.011,8947.0,95,143694.12863442002,143599.34999999998,94.77863441999999
0,22,0.03,55787.0,1665,897042.47027694,895381.3500000001,1661.12027694
0,23,0.02,33547.0,658,539085.8167520879,538429.3500000001,656.466752088
0,24,0.003,13538.0,36,217320.816114096,217284.90000000002,35.91611409600001
0,25,0.028,21732.0,618,349415.15995864803,348798.6,616.5599586479999
0,26,0.017,45741.0,767,734908.262764212,734143.05,765.212764212
0,27,0.012,21896.0,253,351683.21046850795,351430.8,252.410468508
0,28,0.009,31565.0,272,506889.616195392,506618.25,271.366195392
0,29,0.017,20544.0,354,330084.375121944,329731.19999999995,353.175121944
0,30,0.017,19629.0,330,315374.68104587996,315045.45,329.23104588
0,31,0.017,23696.0,409,380728.846962924,380320.8,408.04696292399996
0,32,0.025,41621.0,1028,669042.6545914081,668017.05,1025.604591408
0,33,0.02,33840.0,693,543823.3851963481,543132.0,691.385196348
0,34,0.02,21080.0,422,338755.016670792,338334.0,421.01667079199996
0,35,0.031,42733.0,1346,687207.5135992559,685864.65,1342.863599256
0,36,0.023,24389.0,557,391999.15209865203,391443.44999999995,555.702098652
0,37,0.022,8121.0,182,130523.62591015201,130342.05,181.575910152
0,38,0.025,12592.0,309,202409.879979324,202101.6,308.27997932399995
0,39,0.022,15959.0,352,256493.129782272,256141.94999999998,351.179782272
0,40,0.023,36690.0,856,589728.505379616,588874.5,854.005379616
0,41,0.013,11891.0,154,191004.19115474398,190850.55,153.64115474400003
0,42,0.028,7143.0,201,114845.68163703599,114645.15,200.531637036
0,43,0.0,1.0,0,16.049999999999997,16.049999999999997,0.0
0,44,0.016,11556.0,181,185654.37824031603,185473.8,180.578240316
0,45,0.021,5993.0,124,96311.36105966399,96187.65,123.71105966399999
0,46,0.035,6831.0,242,109878.986100312,109637.54999999999,241.436100312
0,47,0.0,1223.0,0,19629.15,19629.15,0.0
0,48,0.006,6691.0,41,107431.454463276,107390.54999999999,40.904463276
0,49,0.013,15925.0,199,255794.786297364,255596.25,198.536297364
0,50,0.024,9333.0,225,150019.12571310002,149794.65000000002,224.47571309999998
0,51,0.011,30687.0,336,492861.567064896,492526.35,335.217064896
0,52,0.013,19066.0,247,306255.724449492,306009.30000000005,246.42444949199998
0,53,0.0,159.0,0,2551.95,2551.95,0.0
0,54,0.028,7315.0,205,117610.27231638001,117405.75,204.52231638
0,55,0.029,2047.0,60,32914.210190159996,32854.35,59.860190159999995
0,56,0.0,4091.0,0,65660.55,65660.55,0.0
0,57,0.0,3221.0,0,51697.05,51697.05,0.0
0,58,0.0,4720.0,0,75756.0,75756.0,0.0
0,59,0.0,66.0,0,1059.3000000000002,1059.3000000000002,0.0
0,60,0.012,12986.0,150,208574.9504754,208425.3,149.6504754
1,0,0.013051556720076617,12538.96611778061,164,201414.02404348282,201250.40619037877,163.617853104
1,1,0.0361516460391224,20900.60458431002,756,336208.94197419175,335454.7035781758,754.2383960159999
1,2,0.012060067662543585,18359.38763134702,221,294888.6565168757,294668.1714831197,220.48503375599998
1,3,0.020095774581046635,32418.0897809973,651,520959.82404824265,520310.34098500665,649.483063236
1,4,0.022096501605604127,15916.046695791882,352,255803.7292497317,255452.54946745973,351.179782272
1,5,0.007030654060710797,15742.57394402363,111,252779.05315337528,252668.31180157926,110.741351796
1,6,0.010040955464768868,11842.907324285996,119,190197.38526527424,190078.66255479024,118.72271048399999
1,7,0.02008876444317223,20128.935803801538,404,323472.4782647587,323069.4196510147,403.058613744
1,8,0.007037857409981288,15353.74117516102,108,246535.29420362235,246427.54586133437,107.748342288
1,9,0.015057672350499894,18922.98092869854,285,303998.17980887153,303713.84390561155,284.33590326
1,10,0.014082872413207445,14493.976544567231,204,232831.84818684807,232628.3235403041,203.524646544
1,11,0.032140770621687395,23470.808346914157,754,377458.7170243162,376706.4739679722,752.243056344
1,12,0.03217897317920474,31995.02247778257,1030,514547.7106994903,513520.1107684103,1027.59993108
1,13,0.03710724832130708,12338.924292866572,458,198496.66768539647,198039.73490050848,456.93278488799996
1,14,0.012065554092817989,20444.501289726824,247,328380.67014960747,328134.2457001155,246.42444949199998
