id,x,y,x_km,y_km,Station_Name,City
0,-1.292664,50.694216,-143.9006491,5627.057976,Alfen Eve Twin,Newport
1,-1.284787,50.693321,-143.0237736,5626.958631,Asda Superstore,Newport
2,-1.284787,50.693321,-143.0237736,5626.958631,Asda Superstore,Newport
3,-1.292227,50.700915,-143.8520019,5627.801565,IOW Quay Street 2,Newport
4,-1.2966,50.7064,-144.3388086,5628.4104,40 kW Project EV Atess,Newport
5,-1.294469,50.704875,-144.1015835,5628.241125,PremierFord,Newport
6,-1.305016,50.755182,-145.2756861,5633.825202,Alfen Eve Twin,Cowes
7,-1.298724,50.760584,-144.5752544,5634.424824,Cross Street Car Park,Cowes
8,-1.286526,50.754772,-143.2173608,5633.779692,IOW Adelaide Grove,East Cowes
9,-1.145484,50.711298,-127.5164244,5628.954078,Staddlestones Nissan,Ryde
10,-1.14548,50.71075,-127.5159791,5628.89325,EO Genius,Ryde
11,-1.1605,50.739201,-129.1880205,5632.051311,Wightlink Ryde Pier Head,Isle of Wight
12,-1.157001,50.732474,-128.7985083,5631.304614,Quay Road Car Park,Ryde
13,-1.156973,50.732474,-128.7953913,5631.304614,Genie,Ryde
14,-1.165968,50.724308,-129.7967237,5630.398188,IOW Milligan Road,Ryde
15,-1.2134,50.732201,-135.0769014,5631.274311,Wightlink Isle of Wight Ferries,Ryde
16,-1.088643,50.690239,-121.1888274,5626.616529,Bembridge Parish Council,Isle of Wight
17,-1.150416,50.656651,-128.0654595,5622.888261,The Burlington Hotel,Sandown
18,-1.155179,50.654975,-128.5956815,5622.702225,St Johns Road Car Park,Sandown
19,-1.155201,50.654996,-128.5981305,5622.704556,St Johns Road Car Park,Sandown
20,-1.188,50.6659,-132.249348,5623.9149,7 kW Easee electric vehicle charging station c/w a type 2 connection socket,Alverstone Garden Village
21,-1.18041,50.64173,-131.4044216,5621.23203,22 kW Easee ,Shanklin
22,-1.180288,50.628523,-131.3908404,5619.766053,IOW Orchardleigh Road Car Park 1,Shanklin
23,-1.194989,50.598413,-133.0273705,5616.423843,Alfen Eve Twin,Ventnor
24,-1.227905,50.589604,-136.6916125,5615.446044,Ventnor Botanical Gardens,Ventnor
25,-1.523949,50.681725,-169.6475266,5625.671475,Moa Place Car Park,Freshwater
26,-1.515598,50.680725,-168.717885,5625.560475,The Co-Operative Food - Afton Road,Freshwater
