,poi_x,poi_y,poi_x_km,poi_y_km,poi_name,poi_area,place_name
0,-1.491186586,50.67027122,-166.000382,5624.400105,Freshwater Golf Club,384445.8922,Isle of Wight
1,-1.173088023,50.65832572,-130.5893319,5623.074155,Shanklin & Sandown Golf Club,375125.5512,Isle of Wight
2,-1.241888441,50.68745923,-138.2482632,5626.307974,Robin Hill,349882.5333,Isle of Wight
3,-1.268408028,50.75468847,-141.2004501,5633.77042,Osborne Golf Club,252260.1827,Isle of Wight
4,-1.18637241,50.63478987,-132.0681631,5620.461675,Lower Hyde Holiday Park,204138.317,Halverstone
5,-1.362552246,50.73501001,-151.6806786,5631.586111,Thorness Bay Holiday Park,202921.71,Isle of Wight
6,-1.141608732,50.70826146,-127.0850256,5628.617022,Westridge Golf Centre,200283.9694,Isle of Wight
7,-1.300295445,50.71156512,-144.7501892,5628.983728,St Mary's Hospital,195390.4142,Isle of Wight
8,-1.268207367,50.75072756,-141.1781123,5633.330759,"Osborne House, Garden and Grounds",184359.8325,Isle of Wight
9,-1.231557413,50.59943193,-137.0982027,5616.536944,Ventnor Golf Club,182311.9506,Isle of Wight
10,-1.315376218,50.69843529,-146.4289959,5627.526318,Carisbrooke College,162472.2441,Isle of Wight
11,-1.179902057,50.73095881,-131.3478769,5631.136428,Ryde Golf Course,162261.5631,Isle of Wight
12,-1.275763411,50.68073198,-142.0192587,5625.56125,Newport Golf Club,159745.7685,Isle of Wight
13,-1.101974095,50.70384876,-122.6728583,5628.127212,Nodes Point Holiday Park,154567.9677,Isle of Wight
14,-1.282350883,50.60550808,-142.7525827,5617.211397,Wydcombe Park,149740.6429,Isle of Wight
15,-1.312893649,50.76187932,-146.1526339,5634.568604,Cowes Golf Club,148508.9212,Isle of Wight
16,-1.141435602,50.6989879,-127.0657527,5627.587657,Beaper Farm Campsite,147020.9074,Isle of Wight
17,-1.10215309,50.67042736,-122.6927842,5624.417437,,139183.3711,Isle of Wight
18,-1.324349064,50.74947921,-147.4278621,5633.192192,Gurnard Pines Holiday Camp,125608.7663,Isle of Wight
19,-1.167418645,50.65791327,-129.958211,5623.028373,The Bay CE School,113393.1636,Isle of Wight
20,-1.286683259,50.7081906,-143.2348671,5628.609156,Seaclose Park,110922.4075,Isle of Wight
21,-1.309198645,50.7626959,-145.7413023,5634.659245,Cowes Enterprise College,108418.4685,Isle of Wight
22,-1.531032664,50.69534768,-170.4360872,5627.183592,Brambles Chine,95322.28202,Isle of Wight
23,-1.095555472,50.67449978,-121.9583307,5624.869476,Whitecliff Bay Holiday Park,94912.85584,Isle of Wight
24,-1.302862053,50.763287,-145.0359066,5634.724857,Northwood Park,94030.55117,Isle of Wight
25,-1.276263867,50.65403271,-142.07497,5622.59763,The Lakes Rookley,91853.42048,Isle of Wight
26,-1.162890695,50.71005933,-129.4541551,5628.816585,Smallbrook Stadium,90393.15327,Isle of Wight
27,-1.098910932,50.67117305,-122.3318639,5624.500209,Sandhills Holiday Park,83079.83042,Isle of Wight
28,-1.104403162,50.70753375,-122.9432644,5628.536246,Priory Bay Hotel Golf Course,81972.91969,Isle of Wight
29,-1.142310434,50.66136149,-127.1631398,5623.411125,Brown's Golf Course,71486.19364,Isle of Wight
30,-1.3000314,50.74934017,-144.7207955,5633.176759,Northwood Cemetery,69722.71804,Isle of Wight
31,-1.129861111,50.66487045,-125.7772688,5623.80062,Sandown Bay Holiday Centre,68528.97691,Isle of Wight
32,-1.182682871,50.63961356,-131.6574399,5620.997106,Landguard Holiday Park,65616.82382,Calbourne
33,-1.521111899,50.67429035,-169.3316977,5624.846229,Farringford Golf Course,64549.36449,Isle of Wight
34,-1.30527016,50.68903757,-145.3039794,5626.48317,Carisbrooke Cemetery,62951.89235,Isle of Wight
35,-1.296295322,50.70656307,-144.3048915,5628.428501,The Isle of Wight College,61271.82401,Isle of Wight
36,-1.16661043,50.66561834,-129.8682397,5623.883635,Camping & Caravanning Club (Adgestone),60976.76119,Adgestone
37,-1.168273333,50.72898007,-130.0533557,5630.916788,Ryde School with Upper Chine,58986.84525,Isle of Wight
38,-1.164304522,50.65312853,-129.6115437,5622.497267,Los Altos Park,57621.05172,Isle of Wight
39,-1.312588813,50.68752404,-146.1186993,5626.315168,Carisbrooke Castle,56164.4094,Isle of Wight
40,-1.220105352,50.72158104,-135.8233479,5630.095496,Kite Hill Farm Caravan & Camping Site,52104.28359,Isle of Wight
41,-1.418862949,50.68849399,-157.9492423,5626.422833,The Orchards Caravan Park,51371.72572,Isle of Wight
42,-1.19185616,50.63883136,-132.6786196,5620.910281,Ninham Farm,51045.30935,Isle of Wight
43,-1.163462281,50.6611101,-129.5177846,5623.383221,Fairway Holiday Park,50625.12398,Isle of Wight
44,-1.311815648,50.75705084,-146.0326298,5634.032644,Isle of Wight Community Club,49963.795,Isle of Wight
45,-1.227178654,50.6204451,-136.610755,5618.869406,Appuldurcombe Gardens Holiday Park,48697.6832,Isle of Wight
46,-1.312020839,50.58813893,-146.0554718,5615.283421,Blackgang Chine Theme Park,46804.40853,Isle of Wight
47,-1.181890834,50.62369453,-131.5692696,5619.230093,Big Meade,46662.63271,Isle of Wight
48,-1.176315295,50.64787624,-130.948595,5621.914263,Broadlea Primary School,46155.42684,Isle of Wight
49,-1.311338071,50.75454867,-145.9794654,5633.754902,Northwood Recreation Ground,43688.66752,Isle of Wight
50,-1.370553199,50.61988402,-152.5713527,5618.807126,Chine Farm Camping Site,43156.24564,Isle of Wight
51,-1.130252078,50.72587096,-125.8207916,5630.571676,Puckpool Park,42775.54456,Puckpool Park
52,-1.113777959,50.70016116,-123.9868761,5627.717889,St Helens Coastal Resort,42545.61429,Isle of Wight
53,-1.412947567,50.67960595,-157.2907361,5625.43626,Calbourne Water Mill and Holiday Chalets,42043.73381,Isle of Wight
54,-1.21337298,50.65961589,-135.0738935,5623.217364,Southland,40550.2234,Isle of Wight
55,-1.30573047,50.75180343,-145.3552217,5633.450181,Lanesend Primary School,40549.53667,Isle of Wight
56,-1.174181776,50.7230538,-130.7110894,5630.258972,Ryde Academy,39664.15768,Isle of Wight
57,-1.311812614,50.69362782,-146.032292,5626.992688,Christ The King College,39247.5448,Isle of Wight
58,-1.368653405,50.61865754,-152.3598657,5618.670987,Atherfield Bay Holiday Camp (New Development),38287.1645,Isle of Wight
59,-1.285940479,50.71002021,-143.15218,5628.812243,Medina Arboretum,38221.43078,Isle of Wight
60,-1.279635288,50.76068229,-142.4502799,5634.435735,Holy Cross Catholic Primary School,37569.09378,Isle of Wight
61,-1.276359263,50.74577292,-142.0855895,5632.780794,Queensgate Foundation Primary School,37236.16757,Isle of Wight
62,-1.284886317,50.75068528,-143.0348297,5633.326066,Victoria Recreation Ground,37124.98857,Isle of Wight
63,-1.518740429,50.68152122,-169.0677033,5625.648855,Stroud Recreation Gound,36678.31289,Isle of Wight
64,-1.144381948,50.70201568,-127.3937428,5627.923741,Whitefield Forest Campsite,36471.0665,Isle of Wight
65,-1.139334349,50.66125181,-126.831839,5623.398951,The Wildheart Animal Sanctuary,36072.41423,Isle of Wight
66,-1.284596538,50.76158304,-143.0025712,5634.535718,Waverley Park Caravan Park,35449.61903,Isle of Wight
67,-1.14488953,50.65876546,-127.4502474,5623.122966,Sandham Gardens,33739.81296,Isle of Wight
68,-1.215544916,50.59233011,-135.3156756,5615.748642,Ventnor Park,32295.02886,Isle of Wight
69,-1.216720229,50.70568811,-135.4465126,5628.331381,Isle of Wight Steam Railway,31269.67265,Isle of Wight
70,-1.217294076,50.59667986,-135.5103938,5616.231465,Ventnor Cemetery,30701.90131,Isle of Wight
71,-1.188966595,50.65055699,-132.3569504,5622.211826,Cheverton Copse Caravan Park,30441.84497,Isle of Wight
72,-1.191293517,50.64249302,-132.6159856,5621.316725,Ninham Coutry Holidays,29743.09307,Isle of Wight
73,-1.175392791,50.72551906,-130.8459009,5630.532615,Greenmount Primary School,29732.23304,Isle of Wight
74,-1.379153211,50.63245388,-153.5287146,5620.202381,Thorncross Farm,29111.91726,Isle of Wight
75,-1.288763726,50.70447046,-143.4664667,5628.196221,Newport Cemetery,28377.67983,Isle of Wight
76,-1.177095492,50.70866873,-131.0354473,5628.662229,Roebeck Camping and Caravan Park,26728.12038,Isle of Wight
77,-1.158659853,50.68359984,-128.9831735,5625.879582,Nunwell House and Garden,26041.83232,Isle of Wight
78,-1.326210108,50.62954178,-147.6350355,5619.879137,Kingston Manor,25798.64783,Isle of Wight
79,-1.29188303,50.6898789,-143.8137108,5626.576558,St George's School,24577.49477,Isle of Wight
80,-1.465859907,50.66441547,-163.1809907,5623.750117,Compton Farm Campsite,24499.38857,Isle of Wight
81,-1.14921783,50.66431506,-127.932078,5623.738971,Sandown STW,23072.93688,Isle of Wight
82,-1.220194421,50.65590568,-135.8332631,5622.80553,Amazon World,22719.44144,Isle of Wight
83,-1.175580517,50.62528406,-130.8667988,5619.40653,Rylstone Gardens,22595.47906,Isle of Wight
84,-1.280435813,50.69778789,-142.5393952,5627.454455,Downside Recreation Ground,22404.5945,Isle of Wight
85,-1.413162599,50.63649679,-157.3146737,5620.651143,Brighstone Holiday Centre,22088.30371,Isle of Wight
86,-1.427034416,50.65291549,-158.8588982,5622.473619,Mottistone Gardens,22060.2718,Isle of Wight
87,-1.54159535,50.67325484,-171.6119359,5624.731287,Stoats Farm,21690.93152,Isle of Wight
88,-1.399527756,50.6416555,-155.7968294,5621.223761,Brighstone Recreation Ground,21456.92365,Isle of Wight
89,-1.401070799,50.67903237,-155.9686025,5625.372593,Calbourne Village Green,20676.23216,Isle of Wight
90,-1.410832624,50.63609323,-157.0552985,5620.606349,Brighstone Holiday Centre (camping),20537.08234,Isle of Wight
91,-1.263412616,50.70568414,-140.6443559,5628.330939,Monkey Haven,19681.60236,Isle of Wight
92,-1.255272944,50.71199641,-139.7382394,5629.031602,Butterfly World,19590.21641,Isle of Wight
93,-1.407756441,50.63547719,-156.7128547,5620.537968,Grange Farm,19509.02866,Isle of Wight
94,-1.287918097,50.74971347,-143.3723305,5633.218195,Old Kingston Cemetery,19508.98296,Isle of Wight
95,-1.16800973,50.64276766,-130.0240111,5621.34721,Lake Cliff Gardens,18773.74717,Isle of Wight
96,-1.193019935,50.64764026,-132.8081722,5621.888069,Old Barn Touring Park (Cheverton Farm),18342.34335,Isle of Wight
97,-1.281148928,50.71238741,-142.6187798,5629.075002,Orchard Private Hospital,17764.92496,Isle of Wight
98,-1.275231007,50.69943307,-141.9599909,5627.637071,Pan Country Park,17235.80266,Isle of Wight
99,-1.146417158,50.72413473,-127.6203045,5630.378955,Oakfield C of E Primary School,16287.40421,Isle of Wight
100,-1.306496976,50.69690615,-145.4405498,5627.356582,Newport Cricket Club,16048.52825,Isle of Wight
101,-1.207955366,50.59597346,-134.4707993,5616.153054,St Catherine's School,14693.98928,Isle of Wight
102,-1.10787907,50.69587826,-123.3302059,5627.242487,Old Mill Holiday Park,14424.354,Isle of Wight
103,-1.307177503,50.70718455,-145.5163068,5628.497485,Parkhurst Military Cemetery,14318.00832,Isle of Wight
104,-1.209567446,50.64915248,-134.6502577,5622.055925,Springwood Woodland Cemetery,14295.41937,Isle of Wight
105,-1.318581542,50.76109916,-146.7858159,5634.482007,Gurnard Primary School,14225.53863,Isle of Wight
106,-1.528547179,50.68968085,-170.1594006,5626.554574,Heathfield Farm Camp Site,13797.39871,Isle of Wight
107,-1.281319956,50.70715458,-142.6378188,5628.494158,Earl Mountbatten Hospice,13648.71013,Isle of Wight
108,-1.309369986,50.69370175,-145.7603762,5627.000894,Carisbrooke Church of England Primary School,13540.67718,Isle of Wight
109,-1.147901075,50.658873,-127.7854955,5623.134903,Fort Caravan Park,13460.86225,Isle of Wight
110,-1.124737103,50.69429124,-125.206859,5627.066328,Carpenters Farm Campsite,13434.79455,Isle of Wight
111,-1.152487507,50.67307012,-128.2960618,5624.710783,Brading Roman Villa,13280.61459,Isle of Wight
112,-1.304872877,50.69926536,-145.2597536,5627.618455,Newport Church of England Primary School,13082.62888,Isle of Wight
113,-1.160689012,50.65023026,-129.2090615,5622.175559,Battery Gardens,13038.29244,Isle of Wight
114,-1.299182265,50.69501028,-144.6262689,5627.146141,Nine Acres Primary School,12837.36409,Isle of Wight
115,-1.142795789,50.6872516,-127.2171701,5626.284927,Brading Cricket Club,12590.44677,Isle of Wight
116,-1.289289364,50.71709755,-143.5249813,5629.597828,Riverside Paddock,12362.22475,Isle of Wight
117,-1.566568645,50.66797805,-174.3919881,5624.145564,The Needles Landmark Attraction,12110.76503,Isle of Wight
118,-1.219991925,50.59953569,-135.8107211,5616.548461,St Francis Catholic and Church of England Primary Academy,11981.98849,Isle of Wight
119,-1.314216561,50.73696634,-146.2999018,5631.803264,Northwood County Primary School,11906.90535,Isle of Wight
120,-1.186104205,50.72598058,-132.0383062,5630.583844,Binstead Cemetery,11869.82079,Isle of Wight
121,-1.118124409,50.67101799,-124.4707273,5624.482996,Bembridge Fort,11811.80567,Isle of Wight
122,-1.218325896,50.60027874,-135.6252571,5616.63094,The Island Free School,11627.82227,Isle of Wight
123,-1.315678779,50.70572838,-146.4626773,5628.33585,Forest View Nursery,11507.01733,Isle of Wight
124,-1.143303656,50.71097357,-127.2737063,5628.918066,Tesco Extra,11344.25742,Isle of Wight
125,-1.293408983,50.69718413,-143.9835814,5627.387439,Litten Park,11200.39032,Isle of Wight
126,-1.173603715,50.65035167,-130.6467392,5622.189035,Sandown Cemetery,11054.40864,Isle of Wight
127,-1.537655824,50.6874076,-171.1733839,5626.302243,The Bay Colwell,10994.32576,Isle of Wight
128,-1.186292903,50.72426888,-132.0593123,5630.393846,Binstead Primary School,10676.98977,Isle of Wight
129,-1.288982286,50.71604153,-143.4907971,5629.48061,Medina Valley Centre,10617.89896,Isle of Wight
130,-1.157369072,50.72715526,-128.8394824,5630.714234,Dover Park Primary School,10607.68145,Isle of Wight
131,-1.284961631,50.69923746,-143.0432137,5627.615358,Medina House Primary School,10602.1172,Isle of Wight
132,-1.269766238,50.73902949,-141.3516474,5632.032273,Priory School,10065.28108,Isle of Wight
133,-1.297583423,50.70778994,-144.4482842,5628.564684,B&Q,9948.908818,Isle of Wight
134,-1.082426356,50.68479685,-120.4967844,5626.012451,Bembridge Church of England Primary School,9905.674599,Isle of Wight
135,-1.311452824,50.692249,-145.9922398,5626.839639,St Thomas of Canterbury Catholic Primary School,9810.112235,Isle of Wight
136,-1.139882946,50.71115855,-126.8929095,5628.938599,Wight Karting,9561.549215,Isle of Wight
137,-1.118826632,50.71291877,-124.5488995,5629.133984,Nettlestone Primary School,9543.523287,Isle of Wight
138,-1.283921932,50.70104265,-142.9274734,5627.815734,Medina House School,9329.953358,Isle of Wight
139,-1.198940894,50.65816247,-133.4672993,5623.056034,C&CC,9189.942329,Isle of Wight
140,-1.226695578,50.62593705,-136.5569785,5619.479012,Wroxhall STW,9174.850552,Isle of Wight
141,-1.30576087,50.76023655,-145.3586058,5634.386257,Cowes Primary School,9044.243596,Isle of Wight
142,-1.286361278,50.69423005,-143.1990239,5627.059536,Saint George's Park (Newport FC),8974.379915,Isle of Wight
143,-1.183355987,50.62964729,-131.7323718,5619.890849,St Blasius Shanklin Church of England Primary School,8925.48617,Isle of Wight
144,-1.454706883,50.69129949,-161.9394249,5626.734243,Harry Bright Wellow (Millennium Green),8835.026995,Isle of Wight
145,-1.294564589,50.69686628,-144.1122246,5627.352158,The Island VI Form,8671.573391,Isle of Wight
146,-1.280863398,50.76066316,-142.5869943,5634.433611,Sports Field,8601.434987,Isle of Wight
147,-1.274189503,50.61577002,-141.8440497,5618.350472,Roud WTW,8582.697855,Isle of Wight
148,-1.176288784,50.62662248,-130.9456437,5619.555096,Tower Cottage Gardens,8495.017915,Isle of Wight
149,-1.436272213,50.70047703,-159.887259,5627.752951,Shalfleet Church Of England Primary School,8377.012948,Isle of Wight
150,-1.317926789,50.66381688,-146.7129281,5623.683674,Newbarn Country Cottages,8374.497108,Isle of Wight
151,-1.284371658,50.69291241,-142.9775373,5626.913277,Asda,8351.866125,Isle of Wight
152,-1.305285408,50.7075243,-145.3056769,5628.535197,Hunnyhill Primary School,8337.442512,Isle of Wight
153,-1.335823402,50.74198971,-148.7051969,5632.360858,Sunnycott Caravan Park,8220.771475,Isle of Wight
154,-1.300217864,50.7015184,-144.7415528,5627.868542,Sainsbury's,7975.763528,Isle of Wight
155,-1.439998926,50.6699594,-160.3021204,5624.365494,Chessell Pottery Barns,7959.985873,Isle of Wight
156,-1.253070897,50.66029332,-139.4931053,5623.292558,Bury Lane Farm Caravan Park,7829.818074,Isle of Wight
157,-1.140263584,50.68468951,-126.9352824,5626.000535,Brading Football Club,7728.700861,Isle of Wight
158,-1.521937368,50.68215473,-169.4235897,5625.719175,Black Hut Green,7615.004375,Isle of Wight
159,-1.366631254,50.61970044,-152.1347578,5618.786749,Chine Farm Chalets,7578.459146,Isle of Wight
160,-1.15904693,50.65734659,-129.0262633,5622.965472,The Bay Church of England School,7377.858593,Isle of Wight
161,-1.14760659,50.72641495,-127.7527132,5630.63206,St Mary's Catholic Primary School,7182.165246,Isle of Wight
162,-1.221021058,50.61635874,-135.9252852,5618.41582,Wroxall Primary School,7065.686528,Isle of Wight
163,-1.246037557,50.67826836,-138.7101469,5625.287788,Arreton Barns Craft Village,6926.056937,Isle of Wight
164,-1.071172486,50.68536311,-119.2439923,5626.075305,Bembridge Coast Hotel (Warners),6916.110168,Isle of Wight
165,-1.268762185,50.68864909,-141.2398752,5626.440049,Kids Love Yurts (Burnt House Farm),6864.121833,Isle of Wight
166,-1.28337802,50.58634117,-142.8669246,5615.08387,Niton Primary School,6862.034589,Isle of Wight
167,-1.279541605,50.70565433,-142.439851,5628.32763,Summerfields Primary School,6861.346706,Isle of Wight
168,-1.205577039,50.66521814,-134.2060416,5623.839214,Newchurch Primary School,6806.924837,Isle of Wight
169,-1.173538466,50.63938171,-130.6394756,5620.97137,Gatten and Lake Primary School,6624.428507,Isle of Wight
170,-1.395982394,50.64209272,-155.4021561,5621.272292,Brighstone Church of England Aided Primary School,6531.805676,Isle of Wight
171,-1.243689674,50.67680563,-138.4487782,5625.125425,Arreton St George's Church of England Controlled Primary School,6485.209214,Isle of Wight
172,-1.224619039,50.58987846,-136.325816,5615.47651,Ventnor Cricket Club,6465.655161,Isle of Wight
173,-1.498839252,50.7039296,-166.8522844,5628.136186,Yarmouth Church of England Aided Primary School,6303.372344,Isle of Wight
174,-1.230572116,50.72259666,-136.9885185,5630.208229,Fernhill Park Woodland Burial Grounds,6295.887868,Isle of Wight
175,-1.311551994,50.68779067,-146.0032795,5626.344765,Ancient Bowling Green,6251.212564,Isle of Wight
176,-1.21760355,50.65423185,-135.5448448,5622.619735,Newchurch Football Club,6096.210673,Isle of Wight
177,-1.221069365,50.60006149,-135.9306627,5616.606825,Rew Valley Sports Centre,6077.320438,Isle of Wight
178,-1.16178365,50.71074104,-129.3309177,5628.892256,Ryde School Astro Pitch,6076.740689,Isle of Wight
179,-1.193943722,50.64739455,-132.9110091,5621.860795,Village Way,5939.975583,Isle of Wight
180,-1.183657884,50.70422323,-131.7659793,5628.168778,Ashey Cemetery,5922.388629,Isle of Wight
181,-1.352546453,50.71217749,-150.5668237,5629.051701,Rodgebrook Farm,5713.009992,Isle of Wight
182,-1.31612874,50.68341822,-146.5127675,5625.859423,Windmill Campersite,5595.405548,Isle of Wight
183,-1.237746805,50.72576486,-137.7872121,5630.5599,Wootton Community Primary School,5587.445346,Isle of Wight
184,-1.546845335,50.67368785,-172.1963696,5624.779351,Headon Lea Burial Ground,5480.884376,Isle of Wight
185,-1.494418937,50.70597843,-166.3602105,5628.363606,St James's Cemetery,5452.510939,Isle of Wight
186,-1.29219528,50.69698228,-143.8484707,5627.365034,Marks & Spencer,5386.985734,Isle of Wight
187,-1.181169807,50.64694355,-131.4890041,5621.810734,Morrisons,5329.350098,Isle of Wight
188,-1.254944355,50.63222574,-139.7016605,5620.177057,The Model Village,5306.475143,Isle of Wight
189,-1.134411408,50.66245325,-126.2838123,5623.532311,Yaverland Sailing Club,5280.811933,Isle of Wight
190,-1.13053905,50.6638088,-125.8527376,5623.682777,Yaverland Battery,5104.220885,Isle of Wight
191,-1.165267019,50.65653877,-129.7186898,5622.875803,Sandown & Shanklin RFC,5010.821688,Isle of Wight
192,-1.135350064,50.68154208,-126.3883045,5625.651171,St Helens WTW,4879.085613,Isle of Wight
193,-1.158240835,50.65210412,-128.936528,5622.383558,Ferncliff Gardens,4807.991365,Isle of Wight
194,-1.220172223,50.61746252,-135.8307921,5618.53834,Wroxall Cemetery,4786.827818,Isle of Wight
195,-1.459122476,50.69280119,-162.4309732,5626.900932,West Wight Alpacas,4732.917765,Isle of Wight
196,-1.26976341,50.7506206,-141.3513325,5633.318887,Osborne House,4668.189755,Isle of Wight
197,-1.366511372,50.63995765,-152.1214124,5621.035299,Shorwell WTW,4661.749154,Isle of Wight
198,-1.257095208,50.63534507,-139.9410957,5620.523303,Godshill Primary School,4654.639063,Isle of Wight
199,-1.305954198,50.76690791,-145.3801272,5635.126778,Prince's Green,4611.195121,Isle of Wight
200,-1.148531256,50.71487878,-127.8556479,5629.351545,Westridge Cemetery,4376.023842,Isle of Wight
201,-1.194060994,50.65961238,-132.9240639,5623.216975,CC,4172.659624,Isle of Wight
202,-1.251698356,50.67433959,-139.3403127,5624.851694,Gore Cemetery,4148.54743,Isle of Wight
203,-1.307142238,50.6557635,-145.5123811,5622.789748,Chillerton and Rookley Primary School,4008.25904,Isle of Wight
204,-1.144961723,50.68017529,-127.4582839,5625.499457,Brading Church of England Controlled Primary School,3948.724475,Isle of Wight
205,-1.540279361,50.67666778,-171.4654388,5625.110123,St Saviour's Catholic Primary School,3941.381914,Isle of Wight
206,-1.201093919,50.59777465,-133.7069761,5616.352987,Ventnor Tennis Club,3884.140937,Isle of Wight
207,-1.272669399,50.74990514,-141.6748302,5633.23947,Walled Nursery Garden,3856.943645,Isle of Wight
208,-1.301559949,50.70683331,-144.8909551,5628.458498,Island Learning Centre,3532.269289,Isle of Wight
209,-1.28384841,50.59294904,-142.9192889,5615.817343,Meadow View Caravan Site,3467.688669,Isle of Wight
210,-1.204777359,50.7315215,-134.1170204,5631.198887,Quarr Abbey,3463.229221,Isle of Wight
211,-1.28933775,50.69718805,-143.5303677,5627.387873,Matalan,3457.490234,Isle of Wight
212,-1.263041131,50.58256748,-140.6030017,5614.66499,Undercliff Glen,3409.783529,Isle of Wight
213,-1.292502711,50.70464707,-143.8826943,5628.215825,HTP Aprenticeship College,3288.980433,Isle of Wight
214,-1.081548136,50.68685828,-120.3990201,5626.241269,St Luke's Chapel,3276.293003,Weavers Yard
215,-1.214100508,50.59297662,-135.1548827,5615.820405,Putting Green,3250.904981,Isle of Wight
216,-1.247083867,50.71562507,-138.8266231,5629.434382,Wootton Common Cemetery,3232.460487,Isle of Wight
217,-1.254816892,50.72366231,-139.6874712,5630.326517,Palmers Brook Nursery,3212.915571,Isle of Wight
218,-1.363099548,50.73130204,-151.7416048,5631.174526,South Thorness Farm CL,3135.205375,Isle of Wight
219,-1.420692442,50.6383586,-158.1529034,5620.857804,Isle of Wight Pearl,3049.984369,Isle of Wight
220,-1.289520485,50.57644444,-143.55071,5613.985332,Castlehaven Caravan Park,3047.411072,Isle of Wight
221,-1.294368695,50.68667661,-144.0904175,5626.221103,Frequent Flyers Falconry & Wildlife Centre,3031.745163,Isle of Wight
222,-1.152509693,50.65844276,-128.2985315,5623.087147,St Johns Nursery and Pre-School,3005.943905,Isle of Wight
223,-1.112063553,50.69906462,-123.7960268,5627.596173,St Helens Primary School,2967.380103,Isle of Wight
224,-1.284550086,50.7639805,-142.9974001,5634.801835,East Cowes Esplanade Children's Play Area,2912.633826,Isle of Wight
225,-1.16217611,50.72872545,-129.3746068,5630.888525,The Co-operative Food,2831.203717,Isle of Wight
226,-1.173748109,50.62833853,-130.6628132,5619.745577,Keats Green,2806.482899,Isle of Wight
227,-1.227608344,50.72273528,-136.6585885,5630.223616,Lakeside Hotel,2756.481146,Isle of Wight
228,-1.288285299,50.75866873,-143.4132078,5634.212229,Waitrose,2680.022284,Isle of Wight
229,-1.521653193,50.68938083,-169.3919551,5626.521272,Golden Hill Fort,2643.707927,Isle of Wight
230,-1.197767995,50.59847887,-133.336731,5616.431154,St Catherine's College,2616.211642,Isle of Wight
231,-1.173837163,50.63017005,-130.6727268,5619.948875,Ocean View Hotel,2580.199757,Isle of Wight
232,-1.515412955,50.68010167,-168.6972855,5625.491286,Afton Marsh Recycling Centre,2575.853299,Isle of Wight
233,-1.282625612,50.69794428,-142.7831657,5627.471815,Pan Community Hub,2495.124532,Isle of Wight
234,-1.353581423,50.64345953,-150.6820376,5621.424008,St Peter New Churchyard Cemetery,2430.844068,Isle of Wight
235,-1.196259542,50.59708828,-133.1688085,5616.276799,3rd Ventnor Scouts Campsite,2418.056054,Isle of Wight
236,-1.169818179,50.64030792,-130.2253295,5621.07418,YMCA Winchester House,2326.373331,Isle of Wight
237,-1.27406231,50.63953954,-141.8298904,5620.988889,Milk Pan Farm Holiday Lets,2278.293613,Isle of Wight
238,-1.305531361,50.74914652,-145.3330566,5633.155264,Aldi,2268.937813,Isle of Wight
239,-1.270908116,50.74219331,-141.4787624,5632.383458,CECAMM Centre,2173.519789,Isle of Wight
240,-1.212716711,50.70560015,-135.000837,5628.321617,Haven Falconry Bird of Prey Centre,2157.97617,Isle of Wight
241,-1.182051933,50.63343392,-131.5872032,5620.311165,Lidl,2146.410286,Isle of Wight
242,-1.171077961,50.63220969,-130.3655697,5620.175276,Pirates Cove Fun Park,2063.49792,Isle of Wight
243,-1.173518692,50.63178102,-130.6372744,5620.127693,Shanklin Hotel,1988.477815,Isle of Wight
244,-1.154029604,50.73146188,-128.4677296,5631.192269,Peter Pans (funfair),1983.235763,Isle of Wight
