,x,y,x_km,y_km,Station_Name,City
0,-79.606999,43.689841,-8861.930735679,4849.572351,Hilton Garden Inn,Mississauga
1,-79.6203344,43.5834681,-8863.4152457424,4837.7649591,Scotiabank,Mississauga
2,-79.560257,43.647906,-8856.727369496999,4844.917566,ImPark - Burnhamthorpe Square,Mississauga
4,-79.673548661377,43.617097062236,-8869.339110533148,4841.497773908196,Electrical Safety Authority,Mississauga
5,-79.6092022,43.6876627,-8862.1759981062,4849.3305597,AIRWAY CENTRE,Mississauga
9,-79.6146542,43.6533475,-8862.7829201982,4845.5215725,CHARGEPOINT 001,Mississauga
11,-79.624115,43.631541,-8863.836105915001,4843.101051,Addison Chevrolet,Mississauga
12,-79.607736,43.659886,-8862.012779256,4846.247346,Nissan Canada Financial Services Inc,Mississauga
13,-79.638069,43.703078,-8865.389479149,4851.041658,International Centre,Mississauga
14,-79.6172446846905,43.6159655947781,-8863.071295544432,4841.37218102037,Tomken Plaza,Mississauga
16,-79.6415867,43.58943,-8865.781073030701,4838.42673,MORGUARD,Mississauga
20,-79.7068346,43.5578926,-8873.044534506598,4834.9260786,ERIN MILLS,Mississauga
21,-79.7862,43.5984,-8881.879570199999,4839.4223999999995,Meadowvale - Tesla Supercharger,Mississauga
22,-79.754735,43.605041,-8878.376854934999,4840.159551,Enersource Head Office,Mississauga
23,-79.619936,43.712306,-8863.370895455999,4852.065966,Lange Transport,Mississauga
24,-79.620454,43.685691,-8863.428559733999,4849.111701,Pearson Airport - Terminal 1 Parking,Mississauga
25,-79.620454,43.685691,-8863.428559733999,4849.111701,Pearson Airport - Terminal 3 Parking,Mississauga
26,-79.596632,43.659284,-8860.776670872,4846.180524,ImPark - Novo-nordisk,Mississauga
27,-79.742592,43.601136,-8877.025084032,4839.726095999999,ImPark - Hilton Mississauga,Mississauga
28,-79.74574,43.608983,-8877.37552254,4840.597113,RBC Royal Bank,Mississauga
30,-79.58703,43.596675,-8859.70776663,4839.230925,Crown Realty - 1004 Middle Gate Rd,Mississauga
31,-79.588068,43.604834,-8859.823317828,4840.136573999999,FLO - Canadian Tire - Mississauga Dundas St.,Mississauga
32,-79.754934,43.605018,-8878.399007814001,4840.156998,Alectra - 2185 Derry Rd,Mississauga
33,-79.620802,43.636954,-8863.467299442,4843.701894000001,FLO - Canadian Tire - Mississauga Dixie Rd,Mississauga
34,-79.709644,43.647357,-8873.357279724,4844.856627,Region of Peel - 7120 Hurontario St.,Mississauga
35,-79.61991,43.69219,-8863.36800111,4849.833089999999,Alt Hotel Toronto Airport,Mississauga
36,-79.6839338,43.6251253,-8870.4951945498,4842.3889083,TJX EV STATION,Mississauga
37,-79.605459,43.686992,-8861.759301339,4849.256112,Park'N Fly Toronto Valet Airport Parking - Tesla Destination,Mississauga
38,-79.602927,43.687137,-8861.477436567,4849.272207,Hilton Toronto Airport Hotel & Suites - Tesla Destination,Mississauga
39,-79.614682,43.689703,-8862.786014922,4849.557033,ALT Hotel - Toronto Airport - Tesla Destination,Mississauga
40,-79.740092,43.597203,-8876.746781532,4839.289533,Addison Chevy GMC,Mississauga
41,-79.691526,43.637139,-8871.340365846,4843.7224289999995,Triovest,Mississauga
42,-79.597372,43.658514,-8860.859048412,4846.095053999999,ImPark - College Square,Mississauga
43,-79.653215,43.518128,-8867.075547015,4830.512208,Combined Air,Mississauga
44,-79.68311,43.672477,-8870.40348831,4847.644947,Inralec Electrical Products,Mississauga
45,-79.5960283,43.6697598,-8860.7094663843,4847.3433378,GTAA TRCA,Mississauga
47,-79.6403049,43.5958508,-8865.6383817729,4839.1394388,SW SMALL LOT,Mississauga
48,-79.6161644,43.6331236,-8862.9510371724,4843.2767195999995,PFAFF BMW,Mississauga
50,-79.77959,43.59808,-8881.14373839,4839.38688,Ontario Charging Network LP,Mississauga
51,-79.6606372,43.6151424,-8867.901793741199,4841.2808064,Sandalwood Square,Mississauga
52,-79.6470088,43.5801567,-8866.3846666248,4837.3973937,RioCan Grand Park,Mississauga
53,-79.6289806,43.5087367,-8864.377749372601,4829.4697737,Canadian Tire Corporation,Mississauga
54,-79.6535412,43.5697139,-8867.1118599252,4836.238242900001,EDTF,Mississauga
