,poi_x,poi_y,poi_x_km,poi_y_km,poi_name,poi_area,place_name
0,-80.96727713107312,46.462608418518066,-9013.358257508191,5157.349534455505,Laurentian University,1815416.3895636136,Greater Sudbury
1,-80.93204645688823,46.542049006717825,-9009.436343627254,5166.167439745678,Timberwolf Golf Club,1139763.4731789262,Greater Sudbury
2,-81.19578435617605,46.591529556069176,-9038.795910313873,5171.6597807236785,Chelmsford Golf Course,800857.9096184911,Greater Sudbury
3,-80.99079431224345,46.402552432602725,-9015.976213633254,5150.683320018902,Kivi Park,685015.127162037,Greater Sudbury
4,-80.98419314829385,46.46604501481725,-9015.24136546122,5157.730996644715,Idylwylde Golf & Country Club,674195.5203686104,Greater Sudbury
5,-80.99992786625852,46.60212707937798,-9016.992969999765,5172.836105810956,Monte Vista Golf Club,659959.1437819396,Greater Sudbury
6,-81.13305188538786,46.4441015283405,-9031.812468933262,5155.295269645795,Lively Golf & Country Club,640298.0494654374,Greater Sudbury
7,-80.88656418481926,46.41796405207202,-9004.373211618265,5152.394009779994,Pine Grove Golf Club,514366.99088208564,Greater Sudbury
8,-80.9090686281217,46.546084427268994,-9006.878428751135,5166.6153714268585,Cedar Green Golf Club,500780.67291478056,Greater Sudbury
9,-81.1923125202805,46.53601415113108,-9038.409422070145,5165.497570775549,Forest Ridge Golf & Country Club,491938.99456737854,Greater Sudbury
10,-80.9406985889044,46.529125054526446,-9010.399507615426,5164.732881052436,Cambrian College,397952.32478206826,Greater Sudbury
11,-80.9933144619491,46.51487518237927,-9016.256759218635,5163.151145244099,Collège Boréal,352933.40290180425,Greater Sudbury
12,-80.99627112439347,46.46696837460483,-9016.585897838606,5157.833489581137,Health Sciences North,206590.1452391937,Greater Sudbury
13,-80.99020033192836,46.477634793257465,-9015.910091150598,5159.017462051579,Bell Park,169857.36160635782,Greater Sudbury
14,-80.97897596952697,46.60232506869105,-9014.660583903711,5172.858082624707,Kalmo Park Conservation Area,160967.2371570896,Greater Sudbury
15,-81.09490716090178,46.42720793236898,-9027.566160058746,5153.420080492957,Fielding Memorial Park,155558.43185605176,Greater Sudbury
16,-81.02092373963723,46.47987851636397,-9019.330251620155,5159.266515316401,Delki Dozzi Park,134150.35282748946,Greater Sudbury
17,-80.91389020266045,46.43476351511706,-9007.415171250364,5154.2587501779935,Mine Mill 598 Campground,133199.31449757575,Greater Sudbury
18,-81.43832723325312,46.47259300966742,-9065.79602593297,5158.457824073083,Fairbank Provincial Park Campground,124350.5276754769,Greater Sudbury
19,-80.941078263755,46.499250097736265,-9010.44177339947,5161.416760848725,Civic Cemetery,103021.8923897515,Greater Sudbury
20,-81.31168775133006,46.57484814933989,-9051.698392165812,5169.808144576728,Wilderness Park,99364.02212122573,Greater Sudbury
21,-80.97767902825285,46.52352647670919,-9014.516207104136,5164.111438914721,Lasalle Cemetery,89086.51551148861,Greater Sudbury
22,-80.841048836163,46.48514525043269,-8999.306397490502,5159.851122798028,Twin Stacks Golf Course,87582.09351157084,Greater Sudbury
23,-80.92701568302702,46.51880777609532,-9008.87631285025,5163.587663146581,St. Charles College,83968.18718527803,Greater Sudbury
24,-80.99986572505027,46.46924290265899,-9016.98605237832,5158.085962195148,James Jerome Sports Complex,81709.96361685157,Greater Sudbury
25,-80.99749338956553,46.51509973225009,-9016.721961619825,5163.17607027976,Terry Fox Sports Complex,80071.08351024817,Greater Sudbury
26,-81.0023159311149,46.511048041934075,-9017.25881176764,5162.726332654683,Selkirk Park,77930.28189458718,Greater Sudbury
27,-80.98892037849261,46.51992695551911,-9015.767605454175,5163.711892062622,École secondaire Macdonald-Cartier,75812.08322965141,Greater Sudbury
28,-81.0196476560739,46.6119786433419,-9019.188196721803,5173.929629410951,Confederation Secondary School,73951.22157300498,Greater Sudbury
29,-81.03457169628187,46.46561059338966,-9020.849555801795,5157.682775866253,Sudbury Plant,72648.22273150287,Greater Sudbury
30,-81.01416771599234,46.483625382757054,-9018.578164311983,5159.682417486033,Park Lawn Cemetery,65483.95752076312,Greater Sudbury
31,-81.19400158094642,46.570908699050975,-9038.597449992536,5169.370865594658,Chelmsford Valley District School,64060.08363048986,Greater Sudbury
32,-80.93889519099118,46.5245468933644,-9010.198751556329,5164.224705163449,Lasalle Secondary School,63180.01604846063,Greater Sudbury
33,-80.98864446377442,46.500362151994494,-9015.736890351833,5161.540198871389,École secondaire du Sacré-Coeur,60518.39199287773,Greater Sudbury
34,-80.96221396590045,46.47777538434708,-9012.794620898003,5159.033067662526,Kirkwood Place,58856.95278136916,Greater Sudbury
35,-80.88014572626705,46.55153687096908,-9003.658702393774,5167.220592677568,Lorne Brady Park,57753.781080188244,Greater Sudbury
36,-81.14777647850381,46.4322970529666,-9033.451625363523,5153.984972879292,Anderson Farm Museum,57191.850168888916,Greater Sudbury
37,-80.98388742995422,46.4338040863135,-9015.207332589935,5154.152253580799,St. Benedict Catholic Secondary School,53090.56742492034,Greater Sudbury
38,-80.94681516005366,46.52004764929033,-9011.080410432332,5163.725289071227,New Sudbury Centre,50799.55003563621,Greater Sudbury
39,-80.98855478615265,46.448548259659084,-9015.726907349299,5155.788856822159,Lo-Ellen Park Secondary School,50390.40220140083,Greater Sudbury
40,-81.19366562663024,46.5752984781287,-9038.560051222104,5169.858131072286,Côté Park,48584.653663323814,Greater Sudbury
41,-80.8585720395739,46.56020340665215,-9001.257098017406,5168.182578138389,Northeastern Elementary School,48156.613412776685,Greater Sudbury
42,-80.92583685967004,46.528969296939884,-9008.745085055329,5164.715591960327,Twin Forks Playgound,46650.56757067661,Greater Sudbury
43,-81.00896397351511,46.596539252820286,-9017.998878495675,5172.215857063052,École secondaire catholique l'Horizon,46519.94615836643,Greater Sudbury
44,-80.91764235902909,46.43356052090781,-9007.832865049477,5154.125217820767,Carol Campsite,45002.10356716987,Greater Sudbury
45,-80.99417598328105,46.50676174138967,-9016.35266463483,5162.250553294253,Queen Elizabeth II Public School,42107.104963170255,Greater Sudbury
46,-80.93358780805805,46.485415271813864,-9009.60792838083,5159.8810951713385,Korpela Park,41901.99241417032,Greater Sudbury
47,-81.1997907669112,46.57157989600821,-9039.241907963322,5169.445368456912,École secondaire catholique Champlain,41644.243044167146,Greater Sudbury
48,-81.14082020823314,46.436545778387526,-9032.67724640072,5154.456581401016,Lively District Secondary School,41613.54824105153,Greater Sudbury
49,-81.15078782258242,46.45036882126069,-9033.786851197698,5155.990939159937,Meatbird Park,40953.70944840949,Greater Sudbury
50,-80.8117802789718,46.578970169883284,-8996.048192435419,5170.265688857045,Falconbridge Centennial Park,39962.86484887107,Greater Sudbury
51,-81.01669412222314,46.595679523464256,-9018.859406380003,5172.120427104533,Valley View Public School,39850.88327993363,Greater Sudbury
52,-80.96859915403945,46.520531613285605,-9013.505426426826,5163.779009074702,École séparée Félix-Ricard,38309.40066927788,Greater Sudbury
53,-81.00496831845904,46.46564113434491,-9017.554078179179,5157.686165912284,Lockerby Composite School,36306.10580284112,Greater Sudbury
54,-80.90936436790591,46.474588205821206,-9006.911350799654,5158.679290846154,Moonlight Beach Park,35226.664264337196,Greater Sudbury
